relative_path,bytes,sha256
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/06_EINZELCLIP_NOMINAL_9P34.stl,5184,a0933b23f2d1fc027b3d0c2b1162fb144a52762e22ab699726826c02c1b54a3a
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/00_CLIP_PASSFORM_ZUERST/07_EINZELCLIP_FEST_9P42.stl,5184,07acab5204fb729eba3415995ed87585f84e067b8347385c56c206c51df105b2
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/01_V14_HEX_RINGSTAND_BASIS_60MM.stl,147784,c2212613f0bc1da6289ed924d9d7f3a33ae64148aa83d970695aaf874679bada
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/02_ELEGANTER_KLAPPRING_M3.stl,115984,9b25801b4e408be2906d09505f4ed621505c41a35418f150a68bf9d4582c0395
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/03_VIER_HEX_HALTECLIPS_NOMINAL_9P34.stl,19284,cac8ca939a68974bf09db84a8dc24791a90e7438a7e012b062e24061d2accb10
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/01_RING_EINGEKLAPPT.stl,263684,98ac982fc75377519301784c86f21f6c8dc26ba6027aa42e23a4d51c089432e1
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/02_RING_AUFGEKLAPPT.stl,263684,8e5c6877c3f78b19c2e95b270cf6d3cb72012830d610a618f47653d6cb5a7737
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/03_RING_AN_V14_HANDYHAELFTE.stl,1261784,9d104e02b76b6522663c30824007bb5e5d4141517953dcfd88160084ca697604
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/04_NUR_VORSCHAU_NICHT_DRUCKEN/04_CYBERDECK_MIT_RINGSTAND_AUF_TISCH.stl,1401784,05e560a9b0a995797f96b3ac9b6542eaa48b1fec602b16bf6d70ef1f08fa5159
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/PRUEFBERICHT.txt,838,309352bfdcff6c52d7e6947716a1113e9752636e1550235308ba68993d9b0e83
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/PRUEFBILDER/01_EINGEKLAPPT.png,47235,d5e896020bec4876abf7762534cf7b3ab869ed0afdec555ef361678cc9dc1de0
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/PRUEFBILDER/02_AUFGEKLAPPT.png,39310,0ce3da9ddee091c0b4d0341c4facb67c77491f0e113f62dedc57a8c01a408d30
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/PRUEFBILDER/03_AN_V14_HANDYHAELFTE.png,74427,666d70d13e6604f7a1f24a76a4d981a8ad1929723fbb2b417f38072ba7c65086
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/PRUEFBILDER/04_GESAMTES_CYBERDECK_STANDFEST.png,97210,7c667ce57413346e125f2a15dae8713c1d2331c60dea46a918d275b645e90420
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/elegant_ringstand_module_v2.py,19232,f8ee33cc87bad7f4e7850e13903511fca273df723ed5eb3bcf69c1beb54e4d33
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/05_QUELLE_UND_PRUEFUNG/render_elegant_ringstand_module_v2.py,3064,0c832b86daef5706e2d80e5e6d336353a6be7badf02c0edfcd901124509ac1f9
01_FINAL_RELEASE/03_KLAPPBARER_RINGSTANDFUSS_V2_KOMPLETT/DRUCK_UND_MONTAGE.md,2400,f4bbeb7aad602a3a289faebb44e5d629ef97fade391d681414fcc293c4591aae
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/01_CLIP_EINZELTEST_EINRASTKRAGEN_10P34_PLUS1MM.stl,5984,c914b8463d55ac23feff88075f3a3b0f1477b40a05ffa8818400a8d56845fcf5
01_FINAL_RELEASE/04_VERBESSERTE_V6_HEXCLIPS_PLUS1MM/02_SECHS_CLIPS_EINRASTKRAGEN_10P34_PLUS1MM.stl,34284,a102cbcffdb4075c46cae8c151b2a860aaddee3da4ac24f03310c7308cce3416
